time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,10234.29263,0.0,0.0,0.0,10234.29263,300.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
1,10234.89321,0.0,0.0,0.0,10234.89321,300.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
2,10235.49378,0.0,0.0,0.0,10235.49378,300.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
3,10235.99921,0.0,0.0,0.0,10235.99921,300.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
4,10236.39959,0.0,0.0,0.0,10236.39959,300.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
5,10236.79998,0.0004930000000000001,0.0,0.0,10236.799487,300.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
6,10237.20036,0.0028130000000000004,0.0,0.0,10237.197547000002,300.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
7,10237.60075,0.008452,0.0,0.0,10237.592298,300.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
8,10237.87183,0.018836,0.0,0.0,10237.852994,300.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
9,10237.87183,0.025787,0.0,0.0,10237.846043,300.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
10,10237.87183,0.031117000000000002,100.0,0.0,10337.840713,388.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
11,10237.87183,0.033315,100.0,0.0,10337.838515,476.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
12,10237.87183,0.035055,72.7272727272727,0.0,10310.564047727272,540.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
13,10237.76938,0.033131,0.0,100.0,10137.736249,440.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
14,10237.1688,0.026837,0.0,100.0,10137.141963,340.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
15,10236.56823,0.023827,0.0,100.0,10136.544403,240.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
16,10235.96765,0.013949999999999999,0.0,100.0,10135.9537,140.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
17,10235.36707,0.0062510000000000005,0.0,80.0,10155.360819,60.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
18,10234.7592,0.00084,0.0,0.0,10234.75836,60.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
19,10233.75824,0.0,0.0,0.0,10233.75824,60.0,390245.7685574982,0.0,253185.52088709036,643431.2894445886,390494.828069131,0.0,254308.52987792,644803.3579470511
