time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,9876.466662,0.0,0.0,0.0,9876.466662,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
1,9875.866086,0.0,0.0,0.0,9875.866086,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
2,9874.51373,0.0,0.0,0.0,9874.51373,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
3,9873.112386,0.0,0.0,0.0,9873.112386,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
4,9871.711041,0.0,0.0,0.0,9871.711041,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
5,9870.309697,0.0,0.0,0.0,9870.309697,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
6,9868.908353,0.0,0.0,0.0,9868.908353,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
7,9867.821899,0.0,0.0,0.0,9867.821899,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
8,9866.820939,0.012304,0.0,0.0,9866.808635,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
9,9865.819978,0.028413,0.0,0.0,9865.791565,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
10,9864.819018,0.006582,0.0,0.0,9864.812436,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
11,9863.818058,0.017794,0.0,0.0,9863.800264000001,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
12,9862.817098,0.031283000000000005,0.0,0.0,9862.785815,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
13,9861.816137,0.023627,0.0,0.0,9861.79251,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
14,9860.815177,0.012162000000000001,0.0,0.0,9860.803015,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
15,9859.814217,0.015036,0.0,0.0,9859.799180999998,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
16,9858.813257,0.002523,0.0,0.0,9858.810734,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
17,9857.812297,0.0,0.0,0.0,9857.812297,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
18,9856.811336,0.0,0.0,0.0,9856.811336,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
19,9855.810376,0.0,0.0,0.0,9855.810376,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
20,9854.809416,0.0,0.0,0.0,9854.809416,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
21,9853.808456,0.0,0.0,0.0,9853.808456,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
22,9852.74155,0.0,0.0,0.0,9852.74155,200.0,348658.52798421716,0.0,190472.475607822,539131.0035920392,348725.20538427273,0.0,190892.09454166002,539617.2999259328
