time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
0,9966.658478,0.0,0.0,0.0,9966.658478,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
1,9959.744551,0.0,0.0,0.0,9959.744551,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
2,9952.737829,0.0,0.0,0.0,9952.737829,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
3,9945.731108,0.0,0.0,0.0,9945.731108,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
4,9938.724386,0.0,0.0,0.0,9938.724386,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
5,9931.717665,0.000147,0.0,0.0,9931.717518,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
6,9924.172662,0.002594,0.0,0.0,9924.170068000001,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
7,9915.764596,0.011929,0.0,0.0,9915.752667,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
8,9907.35653,0.022288000000000002,0.0,0.0,9907.334241999999,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
9,9898.948464,0.029835,0.0,0.0,9898.918629,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
10,9890.540399,0.034695000000000004,0.0,0.0,9890.505704,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
11,9882.921089,0.036579,0.0,0.0,9882.88451,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
12,9877.916288,0.035884,0.0,0.0,9877.880404,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
13,9872.911487,0.03491,0.0,0.0,9872.876576999999,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
14,9867.906686,0.029717,0.0,0.0,9867.876969,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
15,9862.901885,0.019370000000000002,0.0,0.0,9862.882515,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
16,9858.230933,0.01034,0.0,0.0,9858.220593,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
17,9857.430165,0.003983,0.0,0.0,9857.426182,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
18,9856.629397,0.00023200000000000003,0.0,0.0,9856.629165,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
19,9855.828629,0.0,0.0,0.0,9855.828629,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
20,9855.027861,0.0,0.0,0.0,9855.027861,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
21,9854.227093,0.0,0.0,0.0,9854.227093,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
22,9852.869555,0.0,0.0,0.0,9852.869555,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
23,9851.468211,0.0,0.0,0.0,9851.468211,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
24,9850.066866,0.0,0.0,0.0,9850.066866,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
25,9848.665522,0.0,0.0,0.0,9848.665522,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
26,9847.264178,0.0,0.0,0.0,9847.264178,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
27,9846.328103,0.0,0.0,0.0,9846.328103,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
28,9845.527335,0.0,0.0,0.0,9845.527335,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
29,9844.726567,0.0,0.0,0.0,9844.726567,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
30,9843.925799,0.002218,0.0,0.0,9843.923581000001,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
31,9843.125031,0.011682000000000001,0.0,0.0,9843.113349,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
32,9842.199672,0.02154,0.0,0.0,9842.178132000001,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
33,9841.198712,0.029325,0.0,0.0,9841.169387,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
34,9840.197752,0.03426100000000001,0.0,0.0,9840.163491,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
35,9839.196792,0.036563000000000005,0.0,0.0,9839.160229000001,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
36,9838.195831,0.035225,0.0,0.0,9838.160606000001,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
37,9837.288961,0.033826,0.0,0.0,9837.255135,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
38,9836.488193,0.028718,0.0,0.0,9836.459475,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
39,9835.687425,0.02234,0.0,0.0,9835.665085,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
40,9834.886657,0.013237,0.0,0.0,9834.87342,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
41,9834.085889,0.0032300000000000002,0.0,0.0,9834.082659,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
42,9833.22153,0.0,0.0,0.0,9833.22153,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
43,9832.22057,0.0,0.0,0.0,9832.22057,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
44,9831.21961,0.0,0.0,0.0,9831.21961,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
45,9830.218649,0.0,0.0,0.0,9830.218649,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
46,9829.217689,0.0,0.0,0.0,9829.217689,200.0,362397.15545050486,0.0,244987.6259168266,607384.7813673315,362550.23195854237,0.0,245611.11582056002,608161.3477791024
